;name;picture;review_count;star1_count;star2_count;star3_count;star4_count;star5_count
1709054;Basic Baumwollshirt Shirt Single-Jersey;static/images/1709054.jpg;2039;109;71;168;648;1043
8623725;Shape Badeanzug;static/images/8623725.jpg;1911;148;113;241;559;850
9743730;Verdunkelungsvorhang 'Uni' (1er-Pack);reviews/static/images/9743730_GOuMyL6.jpg;1998;83;31;93;427;1364
655046;Sport-BH Level 1;static/images/655046.jpg;1935;142;78;129;573;1013
553018;Ballerina;static/images/553018.jpg;1828;126;90;197;556;859
434886;Jeans Classic Fit Straight;static/images/434886.jpg;2025;116;63;165;786;895
654563;BH (3er-Pack) Bio-Baumwolle;static/images/654563.jpg;1797;159;93;166;530;849
709229;Stretch-Kleid in Hängerchen-Optik;static/images/709229.jpg;2032;91;95;175;548;1123
515928;Slip;static/images/515928.jpg;1620;25;20;38;368;1169
44970574;Unknown;reviews/static/images/image_1_8L1U0QX.jpg;1965;192;109;268;682;714
